Gene,DEG
Dnaaf3,UP
Lonrf3,UP
Nckap1l,UP
Ctla2b,UP
Muc1,UP
Lyn,UP
Akr1b7,UP
Daam2,UP
Kcnj15,UP
Fam212b,UP
Mfsd12,UP
Arhgef4,UP
Prr15,UP
Cited1,UP
Pla2g7,UP
Clip4,UP
Il4i1,UP
Cd300a,UP
Csf2rb,UP
Rac2,UP
Slc52a3,UP
Fermt3,UP
Plekhb1,UP
Folh1,UP
Slc30a2,UP
Myzap,UP
Hpdl,UP
Lpxn,UP
Rxfp1,UP
Cd274,UP
Cxcl2,UP
2210011C24Rik,UP
Ccr1,UP
Rasl10a,UP
Best1,UP
Rinl,UP
Lfng,UP
Tgm1,UP
Tesc,UP
Acer2,UP
Tmcc3,UP
Prg4,UP
Ncf4,UP
Kcnab2,UP
Myo5b,UP
Pcdhb22,UP
Chil1,UP
Tbc1d9,UP
Npy,UP
Gata3,UP
Eva1c,UP
Clec4n,UP
Tnfrsf18,UP
Trpv4,UP
Faah,UP
Pla2g5,UP
Ccl4,UP
Tulp2,UP
Fgf18,UP
1500015O10Rik,UP
Car9,UP
Flvcr2,UP
Tlr13,UP
Dmtn,UP
Pcdhga3,UP
9330159F19Rik,UP
Nrxn3,UP
Tmem202,UP
Npas2,UP
Aass,UP
Serpina5,UP
Il1rl1,UP
Vtn,UP
Gpr157,UP
Aifm3,UP
Nupr1l,UP
Ly9,UP
Gbp4,UP
Hck,UP
Pik3r5,UP
Tdo2,UP
Cox6a2,UP
Fmod,UP
Clec11a,UP
Kbtbd11,UP
2200002J24Rik,UP
Cd48,UP
Nags,UP
Tnfaip8l2,UP
B3gnt3,UP
Defb42,UP
P2rx7,UP
Kcng4,UP
Dlk2,UP
Bspry,UP
Zfp493,UP
Reep1,UP
Myo1f,UP
Il1r2,UP
Ncf1,UP
Ces1d,UP
Alx4,UP
Gm5141,UP
Ramp1,UP
Nfasc,UP
Cd52,UP
H2-Eb1,UP
Kcnk6,UP
Fam217b,UP
Myo1h,UP
Epsti1,UP
Il34,UP
Pdzk1ip1,UP
Slc16a11,UP
B4galt6,UP
Prkg2,UP
Olfr920,UP
Cyth4,UP
Ppp1r3g,UP
Slc25a34,UP
Nr0b2,UP
Gm3604,UP
Rell2,UP
Trim7,UP
Smpx,UP
Gpd1,UP
Aim2,UP
Slc27a6,UP
Actn3,UP
Jade3,UP
Grip2,UP
Snx22,UP
Pirb,UP
Cybb,UP
Fmo4,UP
Tmie,UP
Rorc,UP
Rarb,UP
Ptafr,UP
Tmem184a,UP
Far2,UP
Dok3,UP
Milr1,UP
Prtn3,UP
Itga7,UP
Tlr1,UP
Ncf2,UP
Slc7a14,UP
Arhgap22,UP
Mc4r,UP
Pip5k1b,UP
Slc4a11,UP
Lyve1,UP
Rprm,UP
Batf3,UP
Gm21188,UP
Mgl2,UP
4930426D05Rik,UP
Card10,UP
Hcls1,UP
Cgn,UP
4930539E08Rik,UP
Ric3,UP
Tnfrsf26,UP
Rab19,UP
Csf2rb2,UP
8030411F24Rik,UP
Bricd5,UP
Eef1a2,UP
Slc2a6,UP
Slc37a1,UP
Arhgef37,UP
Cadm1,UP
Has1,UP
Cd38,UP
Hdac9,UP
Nr4a3,UP
Evi2a,UP
Ccdc85a,UP
H2-Ab1,UP
Agmo,UP
Tubb4a,UP
Fcgr1,UP
Wnt11,UP
Ttyh1,UP
Creb5,UP
Was,UP
Nhsl1,UP
Gpr88,UP
Klk1b8,UP
Gpr35,UP
Kif1a,UP
Abcg1,UP
Cyp21a1,UP
Fyb,UP
Tmem52,UP
Il5ra,UP
