Gene,DEG
Pdcd2,UP
Fmo1,UP
Inpp4b,UP
Col12a1,DOWN
Cenpf,DOWN
Abca3,UP
Klf3,UP
Psrc1,DOWN
Srxn1,UP
Kcna1,DOWN
Ptprs,DOWN
Arnt2,DOWN
H2-Q7,UP
Cdh5,UP
Ptges,DOWN
Gem,UP
Frmd5,DOWN
Pea15a,UP
Flt1,UP
Sult5a1,UP
Jmjd1c,UP
Col6a1,UP
Pcdhga12,UP
Echdc3,DOWN
Rdh10,UP
Slc25a33,UP
Uap1,UP
Hoxd11,DOWN
Abhd11os,UP
H2-K1,UP
Dusp5,UP
Ptpn22,UP
Cdk5rap1,DOWN
Cd83,UP
Il2rb,UP
