gene	sex.bias
Nr0b1	Sertoli
Dusp16	Sertoli
Slc31a1	Sertoli
Fam126a	Sertoli
Myzap	Sertoli
Prss35	Sertoli
Slc24a3	Sertoli
Hsd17b3	Sertoli
Icosl	granulosa
Rplp1	granulosa
Arl4d	Sertoli
Wfdc10	Sertoli
Pcdh7	granulosa
Clu	Sertoli
Rab11a	Sertoli
Bcar1	Sertoli
Arhgap20	Sertoli
Rnd3	Sertoli
Mogs	granulosa
Klf9	Sertoli
Meis1	Sertoli
Arsb	granulosa
Nrn1	granulosa
Fzd1	Sertoli
Helz	Sertoli
Uhrf1	granulosa
Rimklb	granulosa
Rims4	granulosa
Pdk4	granulosa
Bmp2	granulosa
Zcchc24	granulosa
Ubc	granulosa
Rps6	granulosa
Camk2n1	granulosa
Asph	granulosa
Entpd5	Sertoli
Birc2	Sertoli
Rrbp1	granulosa
Phldb1	granulosa
Ptprs	granulosa
Eif3f	granulosa
Slc11a2	Sertoli
Sned1	granulosa
Mif	granulosa
1500009L16Rik	Sertoli
Sh3gl3	Sertoli
Akr1b3	Sertoli
Gatm	Sertoli
Prr15	Sertoli
Tgm2	Sertoli
Kcnk6	Sertoli
Rarres2	granulosa
Scamp1	Sertoli
Dusp8	Sertoli
Ermp1	granulosa
Arap2	Sertoli
Hps3	Sertoli
Rps5	granulosa
Jam3	Sertoli
Bub1b	granulosa
Mef2a	Sertoli
Rpl3-ps1	granulosa
Sh3kbp1	granulosa
Tifa	Sertoli
Marcksl1	Sertoli
Fmod	Sertoli
Vdac3	Sertoli
Ttc39c	Sertoli
Tpbg	granulosa
Rps25	granulosa
Cdyl	Sertoli
Dab2ip	Sertoli
Gfpt2	granulosa
Tcl1	granulosa
Pard3b	Sertoli
Ccn1	Sertoli
Tafa5	Sertoli
Trim8	granulosa
Msrb3	Sertoli
Plekhh2	Sertoli
Gm4969	Sertoli
Exoc6	Sertoli
Fcgrt	granulosa
Zxdb	Sertoli
Sema3d	Sertoli
Prps2	granulosa
Col4a5	granulosa
Mkx	granulosa
Efemp2	granulosa
H2afz	granulosa
Ttyh2	Sertoli
Tapbp	Sertoli
Srcin1	granulosa
Efna5	granulosa
Snx33	Sertoli
Serf2	Sertoli
Smim1	Sertoli
Tspan7	Sertoli
Nid1	Sertoli
Sox13	Sertoli
Sort1	Sertoli
Nfatc2ip	Sertoli
Cacng5	Sertoli
Greb1l	granulosa
Repin1	granulosa
Abca7	granulosa
Gem	granulosa
Mapk4	Sertoli
Slc25a22	granulosa
Lgals3bp	granulosa
4930447C04Rik	Sertoli
Rps26	granulosa
Slc38a1	granulosa
Apoa1	granulosa
Dab2	granulosa
Fosl2	granulosa
Hdhd5	Sertoli
Csrnp1	Sertoli
Sncaip	granulosa
Erbb4	Sertoli
Ube2e3	Sertoli
Ugt8a	Sertoli
Ghr	granulosa
Hoxb9	Sertoli
Mylk	Sertoli
Myocd	granulosa
Angptl4	granulosa
Rab11fip1	Sertoli
Tnfaip3	Sertoli
Fhod3	granulosa
Tead2	granulosa
Emilin2	granulosa
St5	Sertoli
Csdc2	Sertoli
Scx	Sertoli
Cdc42ep4	Sertoli
Rasl12	Sertoli
Map2k1	granulosa
AU022751	granulosa
Pid1	granulosa
H2-Q4	granulosa
Galk1	granulosa
Myl9	Sertoli
Arhgap23	Sertoli
Chrdl1	granulosa
Tut4	granulosa
Grb14	granulosa
Nckap5l	Sertoli
Rpl26	granulosa
Tuba3a	Sertoli
Map3k1	Sertoli
Gm10260	granulosa
Lbh	Sertoli
Sycp2	Sertoli
Armcx4	granulosa
Btnl10	Sertoli
Sgpp2	granulosa
Serpinb6b	granulosa
Slc25a42	granulosa
Srm	granulosa
Erf	Sertoli
Egfr	granulosa
Arhgap31	granulosa
Prickle1	Sertoli
Spint2	Sertoli
Med19	Sertoli
Creb3	Sertoli
H2-T23	granulosa
Robo4	Sertoli
Usp27x	Sertoli
Zfpm1	Sertoli
Plac1	Sertoli
Cyp26b1	Sertoli
Rplp0	granulosa
Dpysl2	Sertoli
Sesn2	Sertoli
Pip5k1b	Sertoli
Shisa5	granulosa
She	granulosa
Vwa1	Sertoli
Nfil3	Sertoli
Dmrtc1a	Sertoli
Pja1	Sertoli
Zdhhc23	granulosa
Spp1	Sertoli
Tkt	granulosa
Fam241a	Sertoli
Cx3cl1	granulosa
Smim3	granulosa
Syt2	Sertoli
Amotl1	granulosa
Tex16	Sertoli
Tfe3	Sertoli
Zfp518a	Sertoli
Elk3	granulosa
Alpk3	granulosa
Slc16a2	Sertoli
Pla2g4c	granulosa
Gsta4	Sertoli
Zfp41	granulosa
St8sia2	Sertoli
Slc6a14	Sertoli
Cpeb2	Sertoli
Eif3l	granulosa
Olfm1	granulosa
Maml2	granulosa
Sema4c	granulosa
Fam81a	granulosa
Slc2a3	Sertoli
Tmem176b	granulosa
Gspt2	Sertoli
Flrt2	Sertoli
Tmem214	granulosa
Nudt11	Sertoli
Cc2d2a	granulosa
Nrarp	Sertoli
Mkrn1	Sertoli
Mfge8	granulosa
Klf6	Sertoli
Sh3bp5	Sertoli
Esyt1	granulosa
Runx1	granulosa
Ssx2ip	Sertoli
Gm1070	granulosa
Adcy3	granulosa
Rab11fip3	Sertoli
Uba6	Sertoli
Ccno	granulosa
Flvcr1	granulosa
Igf2bp3	Sertoli
Micu1	Sertoli
Art3	Sertoli
Kif5c	Sertoli
Gm44250	granulosa
Slc16a4	Sertoli
Scube1	granulosa
Fam189a2	Sertoli
Galnt18	Sertoli
A530020G20Rik	granulosa
Kdelr3	granulosa
Camsap3	Sertoli
Klhl11	Sertoli
Itgav	granulosa
Otulinl	Sertoli
Tle4	Sertoli
Gm7901	Sertoli
Pitpnm1	granulosa
4930550L24Rik	Sertoli
Gas2l1	Sertoli
Stat1	Sertoli
Adcy6	granulosa
Gsta3	Sertoli
Hrk	Sertoli
Prcd	Sertoli
Pag1	Sertoli
Itga6	Sertoli
Tmem94	granulosa
Igfbp4	granulosa
Cadm3	Sertoli
Arl8a	Sertoli
Dusp3	Sertoli
Nceh1	granulosa
Clip3	Sertoli
Adm	Sertoli
Gm10736	granulosa
Crim1	granulosa
Acsl4	Sertoli
Retreg1	Sertoli
Tspan9	granulosa
Itga9	granulosa
Slc37a2	Sertoli
Cdc14b	Sertoli
Acacb	granulosa
Heyl	granulosa
Vldlr	granulosa
Sod3	Sertoli
Cavin2	Sertoli
Oas1c	granulosa
AC109619.1	Sertoli
Ap3s1	Sertoli
Ric3	Sertoli
Rph3al	granulosa
Slc2a12	Sertoli
Itga5	granulosa
Usp32	Sertoli
Krt8	granulosa
Klf12	Sertoli
Gm28875	Sertoli
2-Mar	granulosa
Kifc3	granulosa
Arhgap27	granulosa
Mybl1	Sertoli
Dpep3	Sertoli
Stk39	Sertoli
1810037I17Rik	Sertoli
Ddx4	Sertoli
B630019K06Rik	Sertoli
Tmem29	Sertoli
Tdrkh	Sertoli
Kcnq5	granulosa
Nek6	granulosa
2610035D17Rik	Sertoli
Carmil1	Sertoli
Tcf7l1	granulosa
Gpr161	granulosa
Nxf2	Sertoli
Stra6	Sertoli
Fabp5	granulosa
Pet2	Sertoli
Plcd3	Sertoli
Phactr1	Sertoli
Mageb7-ps	Sertoli
Napepld	Sertoli
Pim1	Sertoli
Rpl35	granulosa
Lmna	granulosa
Piwil2	Sertoli
Plekhb2	Sertoli
Nppc	granulosa
Rhox8	Sertoli
Actn1	granulosa
Npm2	granulosa
Fam76a	Sertoli
Slc23a2	granulosa
Cklf	granulosa
Pim3	granulosa
Zfp950	granulosa
Pold1	granulosa
Pknox2	granulosa
Pgls	granulosa
Lpar1	Sertoli
Crabp2	granulosa
Galnt15	granulosa
Ckb	granulosa
Rpl38	granulosa
Cyb5a	granulosa
C9orf72	Sertoli
Smtn	granulosa
Ddr1	Sertoli
Gpat2	Sertoli
Itm2a	granulosa
B4galt2	granulosa
Cdr2l	Sertoli
Fam160a1	granulosa
Gpd1	Sertoli
Calhm2	Sertoli
Pik3c2a	Sertoli
Rpl38-ps2	granulosa
Mb21d2	Sertoli
Ncmap	Sertoli
Evi5l	Sertoli
Fndc4	granulosa
Prkag2	granulosa
Klf4	Sertoli
Axin2	Sertoli
Zfp503	granulosa
Irx3	granulosa
Tle6	granulosa
Trim61	granulosa
Lgr6	granulosa
Usp26	Sertoli
Phex	granulosa
Lfng	Sertoli
Flnb	granulosa
Mpnd	granulosa
Dync1i1	Sertoli
Prkra	Sertoli
Mapk13	Sertoli
Ripk3	Sertoli
Dusp15	Sertoli
D030056L22Rik	Sertoli
Fgd3	granulosa
Fzd2	granulosa
Aff2	granulosa
Uqcrc1	granulosa
Gys1	granulosa
Plekha2	granulosa
Gm3325	Sertoli
Aldh18a1	granulosa
Gja6	Sertoli
Shroom3	granulosa
Prss12	Sertoli
Rassf4	granulosa
Dclre1c	Sertoli
Rundc3b	Sertoli
Smtnl2	Sertoli
Pkd2l2	granulosa
Grik3	granulosa
Rflnb	granulosa
Apoa4	granulosa
Pard3	granulosa
Eppin	Sertoli
Lpcat2	Sertoli
Kcnk1	granulosa
Sycp3	Sertoli
Gm14569	Sertoli
Arhgef39	granulosa
Lrp3	granulosa
Ccnb2	granulosa
Pxdn	granulosa
Rps3a1	granulosa
4933402E13Rik	Sertoli
Omd	granulosa
L3mbtl4	Sertoli
Clstn2	granulosa
Nxn	granulosa
Atp9a	granulosa
Etv5	Sertoli
Ooep	granulosa
Hs3st1	granulosa
Lpgat1	granulosa
Foxl2	granulosa
Wee1	Sertoli
Rspo2	granulosa
14-Sep	Sertoli
Peg13	granulosa
Hepacam	Sertoli
Dcun1d3	Sertoli
Dnph1	granulosa
Pcdh18	granulosa
Pgk1	granulosa
Gm25047	Sertoli
Ptk7	granulosa
Map7d3	Sertoli
Nxnl2	Sertoli
Gm15344	Sertoli
Kank4	granulosa
